Company,Level Name,Tag,Total Compensation,Location,Date,YOE At Company,YOE Total,Base Comp,Stock Comp,Bonus Comp
Google,L4,Ads,252000,"Mountain View, CA ",2021-05-04,2 , 2,158000 , 68000 , 26000
Carrier,P1,General,74000,"Boston, MA ",2021-05-01,2 , 2,74000 , N/A , N/A
Pinterest,L4,Product Analytics,400000,"San Francisco, CA ",2021-04-21,2 , 2,160000 , 240000 , N/A
Wells Fargo,AC5,ML,185000,"San Francisco, CA ",2021-04-21,2 , 2,150000 , N/A , 35000
Amazon,L5,General,245000,"New York, NY ",2021-04-20,2 , 2,167000 , 78000 , N/A
Walmart Global Tech,L3,forecasting,180000,"San Bruno, CA ",2021-04-20,2 , 2,139000 , 25000 , 16000
Amazon,L5,scot,228000,"Seattle, WA ",2021-04-19,1 , 2,158000 , 47000 , 23000
Instacart,L4,General,312000,"San Francisco, CA ",2021-04-16,0 , 2,162000 , 150000 , N/A
Capital Group,mid,AI,220000,"Los Angeles, CA ",2021-04-14,2 , 2,160000 , 20000 , 40000
Amazon,L5,Statistics,198000,"Seattle, WA ",2021-04-13,1 , 2,140000 , 35000 , 25000
eBay,L24,Machine Learning,190000,"Seattle, WA ",2021-04-13,1 , 2,155000 , 25000 , 10000
JP Morgan Chase,Associate,Analytics,84000,"Chicago, IL ",2021-04-13,2 , 2,77000 , N/A , 7000
Microsoft,62,General,180000,"Denver, CO ",2021-04-12,0 , 2,135000 , 20000 , 25000
AbbVie,14,General,86000,"North Chicago, IL ",2021-04-09,2 , 2,79000 , N/A , 7000
Amazon,L5,HR,250000,"Seattle, WA ",2021-04-07,2 , 2,140000 , 110000 , N/A
HCL Technologies,E2,Data Science,87000,"New York, NY ",2021-04-06,2 , 2,82000 , N/A , 5000
eBay,SE 3,AI,205000,"San Jose, CA ",2021-04-04,0 , 2,160000 , 29000 , 16000
eBay,SE 3,AI,205000,"San Jose, CA ",2021-04-04,0 , 2,160000 , 29000 , 16000
Pinterest,L3,Analytics,190000,"San Francisco, CA ",2021-04-01,2 , 2,145000 , 45000 , N/A
DaVita,L1,SQL,62000,"Tacoma, WA ",2021-03-24,2 , 2,62000 , N/A , N/A
